Year,CrimeType,Count
2024,TOWED VEHICLE,14
2024,VANDALISM,4942
2024,WEAPONS,1308
2025,"",2764
2025,ARSON,89
2025,BURG - AUTO,2118
2025,BURG - COMMERCIAL,421
2025,BURG - OTHER,84
2025,BURG - RESIDENTIAL,605
2025,CURFEW & LOITERING,153
2025,DISORDERLY CONDUCT,408
2025,DOMESTIC VIOLENCE,1179
2025,DUI,170
2025,FELONY ASSAULT,1188
2025,FORCIBLE RAPE,162
2025,FORGERY & COUNTERFEITING,145
2025,FRAUD,119
2025,GRAND THEFT,717
2025,HOMICIDE,416
2025,MISDEMEANOR ASSAULT,1882
2025,NARCOTICS,744
2025,OTHER,659
2025,OTHER SEX OFFENSES,85
2025,PETTY THEFT,2112
2025,PROSTITUTION,29
2025,RECOVERED O/S STOLEN,152
2025,ROBBERY,1189
2025,STOLEN AND RECOVERED VEHICLE,145
2025,STOLEN VEHICLE,2752
2025,THREATS,362
2025,TOWED VEHICLE,2
2025,VANDALISM,1188
2025,WEAPONS,593
