geoid,avg_vac_r
06001401600,1337.2
06001407300,745.29
06001405800,826.63
06001401500,823.25
06001406800,1411.89
06001405901,1729.12
06001401100,956.0
06001405401,1076.21
06001407000,975.73
06001407900,647.0
06001404600,1763.0
06001407102,843.71
06001406500,586.78
06001405301,774.17
06001405100,944.17
06001404900,2386.92
06001401800,1328.44
06001408000,627.9
06001403600,1781.5
06001405600,1506.82
06001402500,1717.07
06001404400,2076.17
06001403402,1823.86
06001407200,2185.29
06001400400,1128.75
06001404700,1324.17
