geoid,avg_vac_r
06001403100,679.0
06001400200,1990.0
06001406601,1924.0
06001404101,1812.27
06001403701,1990.0
06001406202,1990.0
06001404800,1990.0
06001406602,1808.0
06001405902,1879.22
06001402400,1326.14
06001400600,1435.0
06001404300,1759.0
06001406900,1409.0
06001404102,1599.67
06001406400,1990.0
06001405700,0.0
06001405500,1766.47
06001402900,1990.0
06001403400,1877.79
06001404200,1990.0
06001400300,1955.54
06001406800,1990.0
06001404000,1790.63
06001403900,1932.25
06001401200,0.0
06001407500,1758.75
06001401600,1727.8
06001407300,1990.0
06001406201,1948.93
06001406300,1771.5
06001406000,1984.5
06001405402,1334.5
06001405800,1553.57
06001406700,1990.0
06001401700,1322.29
06001401500,609.0
06001403702,1706.15
06001403000,1410.0
06001407800,1602.67
06001401400,1295.3
06001405401,1982.67
06001405901,1759.64
06001400500,651.0
06001401100,1626.0
06001404501,1734.5
06001407000,1503.5
06001407102,1990.0
06001407900,0.0
06001402700,1670.73
06001401300,1954.22
06001402200,1843.41
06001404600,1286.4
06001406500,1990.0
06001404900,1990.0
06001405301,1928.75
06001405302,1708.5
06001401800,1941.0
06001403300,1451.5
06001401000,1019.4
06001405100,1731.0
06001400100,1462.5
06001407700,1016.0
06001408000,0.0
06001407101,1752.0
06001405600,1702.29
06001403600,1874.5
06001400800,494.85
06001403501,1751.64
06001407600,1682.0
06001402800,1990.0
06001400700,836.85
06001405000,1990.0
06001405200,1807.16
06001402500,1990.0
06001400900,656.64
06001403800,1861.29
06001403502,1437.2
06001400400,1990.0
06001406100,1917.2
06001407200,1990.0
06001404700,1885.0
06001404400,1716.8
06001404502,1552.8
06001402600,1370.67
06001407400,1768.33
06001406900,1500.0
06001405500,1857.47
06001405700,0.0
06001403400,1968.79
06001400300,2046.54
06001407500,1849.75
06001406700,2081.0
06001404200,2081.0
06001406000,2081.0
06001401200,0.0
06001401700,1520.5
06001406201,2039.93
06001405402,1425.5
06001406300,1862.5
06001403000,1501.0
06001407800,1790.5
06001404501,1825.5
06001401400,1386.3
06001400500,742.0
06001401000,1110.4
06001402200,1934.41
06001403300,1552.49
06001401300,2045.22
06001405302,1799.5
06001402700,1761.73
06001400100,1553.5
06001407101,1843.0
06001407700,1107.0
06001400800,585.85
06001407600,1773.0
06001403800,1952.29
06001405000,2047.02
06001405200,1898.16
06001400900,747.64
06001403501,1842.64
06001402800,2081.0
06001400700,966.63
06001406100,2008.2
06001404502,1643.8
06001407400,1859.33
06001402600,1461.67
06001403502,1674.5
06001406202,2081.0
06001403701,2081.0
06001400200,2081.0
06001402400,1469.08
06001404800,2081.0
06001403100,770.0
06001404101,1903.27
06001405902,1970.22
06001404300,1850.0
06001404102,1690.67
06001406400,2081.0
06001407300,2081.0
06001402900,2081.0
06001403702,1797.15
06001403900,2023.25
06001404000,1881.63
06001401600,1818.8
06001401500,524.5
06001406800,2081.0
06001405800,1644.57
06001405901,1832.92
06001401100,1717.0
06001405401,2073.67
06001404900,2081.0
06001406500,2081.0
06001404600,1285.5
06001407000,1281.33
06001405301,1999.33
06001407900,0.0
06001407102,2081.0
06001405100,1822.0
06001401800,2032.0
06001408000,0.0
06001403600,1965.5
06001405600,1793.29
06001402500,2081.0
06001407200,2081.0
06001400400,2081.0
06001404400,1910.67
06001404700,1923.5
06001406602,1899.0
06001400600,2081.0
06001406601,2015.0
06001405700,0.0
06001406900,1591.0
06001405500,1948.47
06001406300,1953.5
06001407500,1940.75
06001406201,2130.93
06001406000,2172.0
06001401700,1611.5
06001403400,2042.59
06001405402,1576.09
06001404200,2172.0
06001401200,0.0
06001400300,2137.54
06001406700,2172.0
06001403000,1592.0
06001400500,833.0
06001401400,1477.3
06001407800,2172.0
06001404501,1916.5
06001401300,2136.22
06001402200,2025.41
06001403300,1643.49
06001401000,1201.4
06001402700,1852.73
06001405302,1890.5
06001407101,1934.0
06001400800,676.85
06001400100,1644.5
06001407700,1198.0
06001407600,1864.0
06001403501,2040.9
06001405000,2172.0
06001405200,1989.16
06001400700,1091.61
06001402800,2172.0
06001400900,838.64
06001403800,2043.29
06001406100,2099.2
06001407400,1950.33
06001402600,1552.67
06001404502,1734.8
06001403502,1879.25
06001406202,2172.0
06001404101,1994.27
06001403701,2172.0
06001403100,80.19
06001404800,2172.0
06001405902,2061.22
06001400200,2172.0
06001402400,1640.45
06001404300,1941.0
06001404102,1781.67
06001406400,2172.0
06001403702,1888.15
06001402900,2172.0
06001406800,2172.0
06001404000,1972.63
06001401600,1909.8
06001407300,2172.0
06001403900,2114.25
06001401500,615.5
06001405800,1735.57
06001405401,2164.67
06001401100,1808.0
06001405901,1923.92
06001407102,2172.0
06001406500,2172.0
06001407000,1654.0
06001404600,1695.67
06001404900,2172.0
06001407900,0.0
06001405100,1913.0
06001405301,2090.33
06001401800,2123.0
06001405600,1884.29
06001403600,2056.5
06001408000,0.0
06001402500,2172.0
06001400400,2172.0
06001404700,2014.5
06001404400,2044.25
06001407200,2172.0
06001400600,2172.0
06001406602,1990.0
06001406601,2106.0
06001404400,2143.25
06001400400,2271.0
06001404700,2113.5
06001407200,1586.69
06001403400,1444.93
06001404200,1142.5
06001406300,656.43
06001406201,1377.16
06001406000,1602.38
06001401200,42.0
06001405402,457.81
06001401700,601.32
06001407500,1387.39
06001400300,1826.81
06001406700,1149.33
06001403000,1435.28
06001400500,515.0
06001401400,1230.85
06001407800,312.5
06001404501,2015.5
06001402200,846.8
06001402700,849.59
06001401300,1225.71
06001401000,1187.06
06001403300,1095.99
06001405302,440.21
06001400100,1193.83
06001407101,621.27
06001400800,579.78
06001407700,372.54
06001407600,227.71
06001403501,729.53
06001402800,325.63
06001405200,1312.45
06001405000,2136.67
06001400900,832.69
06001400700,1101.52
06001403800,1999.87
06001406100,642.95
06001407400,998.62
06001402600,486.42
06001404502,1833.8
06001403502,1585.4
06001403100,130.07
06001404101,1925.83
06001404800,1900.67
06001403701,893.5
06001406202,874.07
06001405902,1632.67
06001400200,2271.0
06001402400,662.19
06001404102,1880.67
06001404300,2040.0
06001406400,253.21
06001404000,2011.39
06001402900,527.58
06001406800,888.18
06001403702,1669.38
06001401600,642.14
06001407300,532.6
06001403900,1628.73
06001401500,234.63
06001405800,435.64
06001401100,396.4
06001405401,853.44
06001405901,856.27
06001404600,1794.67
06001407000,262.45
06001406500,360.0
06001404900,2271.0
06001407102,223.76
06001407900,89.17
06001405100,2012.0
06001405301,234.39
06001401800,722.65
06001405600,751.51
06001403600,1590.55
06001408000,88.67
06001402500,1100.85
06001400600,2271.0
06001406601,2205.0
06001406602,2089.0
06001405500,638.52
06001406900,171.84
06001405700,98.0
