geoid,avg_vac_r,SourceFile
06001409400,418.33,usps_vac_032019_tractsum_2kx.dbf
06001409000,862.0,usps_vac_032019_tractsum_2kx.dbf
06001408500,1200.33,usps_vac_032019_tractsum_2kx.dbf
06001410000,1181.67,usps_vac_032019_tractsum_2kx.dbf
06001405500,1182.47,usps_vac_032019_tractsum_2kx.dbf
06001405700,0.0,usps_vac_032019_tractsum_2kx.dbf
06001426100,0.0,usps_vac_032019_tractsum_2kx.dbf
06001450607,582.09,usps_vac_032019_tractsum_2kx.dbf
06001450746,434.0,usps_vac_032019_tractsum_2kx.dbf
06001450200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001450102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001432300,1215.5,usps_vac_032019_tractsum_2kx.dbf
06001433104,1826.5,usps_vac_032019_tractsum_2kx.dbf
06001404102,870.67,usps_vac_032019_tractsum_2kx.dbf
06001404300,1107.0,usps_vac_032019_tractsum_2kx.dbf
06001406900,680.0,usps_vac_032019_tractsum_2kx.dbf
06001408800,112.0,usps_vac_032019_tractsum_2kx.dbf
06001422100,2763.67,usps_vac_032019_tractsum_2kx.dbf
06001423300,657.6,usps_vac_032019_tractsum_2kx.dbf
06001421600,891.46,usps_vac_032019_tractsum_2kx.dbf
06001428400,498.0,usps_vac_032019_tractsum_2kx.dbf
06001427200,2442.31,usps_vac_032019_tractsum_2kx.dbf
06001427800,1255.08,usps_vac_032019_tractsum_2kx.dbf
06001441200,1147.0,usps_vac_032019_tractsum_2kx.dbf
06001451101,1093.74,usps_vac_032019_tractsum_2kx.dbf
06001435700,1699.0,usps_vac_032019_tractsum_2kx.dbf
06001437500,4026.0,usps_vac_032019_tractsum_2kx.dbf
06001436800,3662.0,usps_vac_032019_tractsum_2kx.dbf
06001438204,477.8,usps_vac_032019_tractsum_2kx.dbf
06001437000,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001437102,327.86,usps_vac_032019_tractsum_2kx.dbf
06001442500,925.0,usps_vac_032019_tractsum_2kx.dbf
06001442400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001441921,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001442100,383.25,usps_vac_032019_tractsum_2kx.dbf
06001443105,879.5,usps_vac_032019_tractsum_2kx.dbf
06001443103,433.0,usps_vac_032019_tractsum_2kx.dbf
06001451601,1082.0,usps_vac_032019_tractsum_2kx.dbf
06001441522,0.0,usps_vac_032019_tractsum_2kx.dbf
06001441524,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001440100,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001440307,923.86,usps_vac_032019_tractsum_2kx.dbf
06001440200,722.56,usps_vac_032019_tractsum_2kx.dbf
06001440306,0.0,usps_vac_032019_tractsum_2kx.dbf
06001444400,2669.4,usps_vac_032019_tractsum_2kx.dbf
06001406201,1219.93,usps_vac_032019_tractsum_2kx.dbf
06001406300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001407300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001441501,799.0,usps_vac_032019_tractsum_2kx.dbf
06001406000,1060.08,usps_vac_032019_tractsum_2kx.dbf
06001407500,1148.94,usps_vac_032019_tractsum_2kx.dbf
06001406700,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001406800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001409600,1032.86,usps_vac_032019_tractsum_2kx.dbf
06001409700,1170.0,usps_vac_032019_tractsum_2kx.dbf
06001403400,1123.97,usps_vac_032019_tractsum_2kx.dbf
06001408700,1187.09,usps_vac_032019_tractsum_2kx.dbf
06001408200,1198.0,usps_vac_032019_tractsum_2kx.dbf
06001405402,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001405800,1174.4,usps_vac_032019_tractsum_2kx.dbf
06001432700,1687.13,usps_vac_032019_tractsum_2kx.dbf
06001401700,881.4,usps_vac_032019_tractsum_2kx.dbf
06001401600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001410500,1177.87,usps_vac_032019_tractsum_2kx.dbf
06001401500,751.5,usps_vac_032019_tractsum_2kx.dbf
06001423902,2439.57,usps_vac_032019_tractsum_2kx.dbf
06001400300,1231.13,usps_vac_032019_tractsum_2kx.dbf
06001401200,0.0,usps_vac_032019_tractsum_2kx.dbf
06001403900,1168.6,usps_vac_032019_tractsum_2kx.dbf
06001403702,977.15,usps_vac_032019_tractsum_2kx.dbf
06001404000,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001424002,1067.96,usps_vac_032019_tractsum_2kx.dbf
06001404200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001402900,1190.89,usps_vac_032019_tractsum_2kx.dbf
06001408900,540.0,usps_vac_032019_tractsum_2kx.dbf
06001422600,0.0,usps_vac_032019_tractsum_2kx.dbf
06001422400,1057.33,usps_vac_032019_tractsum_2kx.dbf
06001423400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001420300,677.0,usps_vac_032019_tractsum_2kx.dbf
06001420200,1073.0,usps_vac_032019_tractsum_2kx.dbf
06001420400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001421300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001428600,561.38,usps_vac_032019_tractsum_2kx.dbf
06001435500,1512.36,usps_vac_032019_tractsum_2kx.dbf
06001435602,1086.0,usps_vac_032019_tractsum_2kx.dbf
