geoid,avg_vac_r
06001406100,1553.2
06001407200,1626.0
06001407400,1237.71
06001400400,1626.0
06001403502,1073.2
06001402600,1626.0
06001404400,1323.62
06001404502,1188.8
06001404700,1521.0
06001406202,1626.0
06001400600,1179.67
06001402400,960.59
06001403100,707.67
06001403701,1626.0
06001404800,1626.0
06001406601,1560.0
06001406602,1444.0
06001405902,1412.34
06001400200,1626.0
06001404101,1448.27
06001406400,1626.0
06001405700,0.0
06001405500,1402.47
06001404300,1472.0
06001406900,1045.0
06001404102,1235.67
06001406201,1584.93
06001406300,1407.5
06001407300,1626.0
06001401700,958.29
06001401500,194.4
06001400300,1596.13
06001401200,0.0
06001404000,1426.63
06001403900,1533.6
06001401600,1182.0
06001406000,1620.5
06001403702,1342.15
06001403400,1472.99
06001407500,1380.77
06001406700,1626.0
06001406800,1626.0
06001405402,1008.77
06001405800,1189.57
06001402900,1626.0
06001404200,1626.0
06001401400,931.3
06001400500,287.0
06001401100,1262.0
06001403000,1222.82
06001405401,1537.19
06001407800,1238.67
06001405901,1395.64
06001404501,1370.5
06001407101,1388.0
06001400100,1204.0
06001400800,291.86
06001403600,1523.33
06001405600,1332.17
06001407700,1153.5
06001408000,0.0
06001407600,1175.75
06001400900,325.46
06001400700,571.57
06001403800,1626.0
06001403501,1276.73
06001405000,1626.0
06001402500,1626.0
06001405200,1443.16
06001402800,1626.0
06001404900,1626.0
06001402700,1306.73
06001405302,1216.43
06001407102,1626.0
06001401300,1590.22
06001406500,1626.0
06001401800,1577.0
06001405301,1577.0
06001405100,1367.0
06001401000,675.53
06001404600,922.4
06001407000,1120.6
06001407900,0.0
06001402200,1436.72
06001403300,1064.84
06001404101,1539.27
06001406202,1717.0
06001404800,1717.0
06001403701,1717.0
06001400200,1717.0
06001402400,1057.47
06001400600,958.0
06001403100,798.67
06001406602,1535.0
06001405902,1535.62
06001406601,1651.0
06001404102,1326.67
06001406900,1136.0
06001405500,1493.47
06001405700,0.0
06001406400,1717.0
06001404300,1563.0
06001406700,1717.0
06001401600,1247.64
06001403900,1624.6
06001400300,1687.13
06001403400,1606.09
06001403702,1433.15
06001402900,1717.0
06001407500,1471.77
06001406000,1711.5
06001404000,1517.63
06001406201,1675.93
06001406800,1717.0
06001405800,1280.57
06001407300,1717.0
06001401700,1049.29
06001401200,0.0
06001404200,1717.0
06001405402,1061.5
06001401500,242.33
06001406300,1498.5
06001405901,1486.64
06001403000,1209.5
06001401100,1353.0
06001404501,1461.5
06001407800,1329.67
06001405401,1709.67
06001400500,378.0
06001401400,1022.3
06001405100,1458.0
06001407000,1230.5
06001407900,0.0
06001406500,1717.0
06001405302,1307.43
06001404900,1717.0
06001405301,1668.0
06001403300,1155.84
06001404600,1013.4
06001401000,658.18
06001401300,1681.22
06001402200,1561.83
06001407102,1717.0
06001402700,1397.73
06001401800,1668.0
06001403600,1614.33
06001408000,0.0
06001407700,1244.5
06001407101,1479.0
06001400100,1189.5
06001405600,1429.29
06001400800,225.08
06001400900,364.53
06001403800,1717.0
06001402800,1717.0
06001400700,549.57
06001405000,1717.0
06001403501,1478.64
06001407600,1409.0
06001405200,1534.16
06001402500,1717.0
06001404400,1414.62
06001402600,1717.0
06001403502,1164.2
06001406100,1644.2
06001404700,1612.0
06001400400,1717.0
06001407400,1432.0
06001404502,1279.8
06001407200,1717.0
06001402400,1175.33
06001403701,1808.0
06001404101,1630.27
06001404800,1808.0
06001406602,1626.0
06001403100,889.67
06001400200,1808.0
06001406202,1808.0
06001400600,1049.0
06001405902,1626.62
06001406601,1742.0
06001405700,0.0
06001405500,1584.47
06001404102,1417.67
06001404300,1577.0
06001406400,1808.0
06001406900,1227.0
06001406700,1808.0
06001403400,1697.09
06001403702,1524.15
06001405800,1371.57
06001406000,1802.5
06001401700,1140.29
06001401600,1442.82
06001407500,1576.75
06001403900,1637.25
06001402900,1808.0
06001404200,1808.0
06001406800,1808.0
06001400300,1773.54
06001406201,1766.93
06001404000,1608.63
06001407300,1808.0
06001401500,333.33
06001401200,0.0
06001405402,1152.5
06001406300,1589.5
06001405901,1577.64
06001401100,1444.0
06001403000,1228.0
06001404501,1552.5
06001405401,1800.67
06001407800,1420.67
06001400500,469.0
06001401400,1113.3
06001404900,1808.0
06001405301,1759.0
06001402200,1652.83
06001401000,763.09
06001407102,1808.0
06001403300,1262.14
06001404600,1104.4
06001407000,1321.5
06001407900,0.0
06001406500,1808.0
06001401300,1772.22
06001405100,1549.0
06001405302,1526.5
06001402700,1488.73
06001401800,1759.0
06001407101,1570.0
06001403600,1692.5
06001400100,1280.5
06001408000,0.0
06001405600,1520.29
06001407700,1335.5
06001400800,284.07
06001403800,1679.29
06001405200,1625.16
06001400900,474.64
06001405000,1808.0
06001407600,1500.0
06001400700,636.52
06001402800,1808.0
06001403501,1569.64
06001402500,1808.0
06001404700,1703.0
06001404400,1559.64
06001407200,1808.0
06001403502,1255.2
06001404502,1370.8
06001400400,1808.0
06001406100,1735.2
06001407400,1459.33
06001402600,1808.0
06001404800,1899.0
06001406202,1899.0
06001400200,1899.0
06001406602,1717.0
06001400600,1140.0
06001402400,1266.33
06001403701,1899.0
06001403100,1177.0
06001404101,1721.27
06001405902,1751.85
06001406601,1833.0
06001405700,0.0
06001406900,1318.0
06001405500,1675.47
06001404102,1508.67
06001404300,1668.0
06001406400,1899.0
06001401600,1636.8
06001403400,1770.02
06001401200,0.0
06001406000,1893.5
06001407500,1667.75
06001403900,1841.25
06001401700,1231.29
06001401500,424.33
