geoid,avg_vac_r
06001403302,1643.26
06001400600,2098.67
06001406602,2940.33
06001402802,2476.2
06001406601,2622.29
06001401200,487.0
06001401700,1375.35
06001407500,1220.63
06001400300,2385.0
06001404200,3092.0
06001406000,1807.84
06001406700,1630.8
06001402801,1190.63
06001405402,1558.91
06001406201,1136.87
06001406300,540.25
06001403000,1682.59
06001403401,2348.12
06001407800,1145.56
06001404501,2052.33
06001401400,1060.8
06001400500,1336.0
06001401300,1725.5
06001401000,1712.0
06001402200,1664.38
06001405302,1150.54
06001402700,1580.83
06001400100,2921.67
06001407700,820.27
06001407101,1559.71
06001400800,761.73
06001403501,1426.88
06001405000,2977.76
06001405200,2084.0
06001400900,1425.8
06001403800,2358.0
06001407600,812.67
06001400700,1393.68
06001404502,1847.5
06001406100,1130.78
06001402600,1501.63
06001403502,2082.17
06001407400,1145.83
06001403701,1464.0
06001403100,731.71
06001400200,3092.0
06001402400,1718.33
06001404101,2485.91
06001406202,711.2
06001404800,2041.29
06001405902,2335.79
06001403301,2157.61
06001404102,1838.2
06001404300,2938.0
06001406400,1281.17
06001403900,2176.85
06001401500,914.25
06001402900,1448.81
06001403702,2461.08
06001404000,2701.4
06001401600,1459.06
06001407300,945.0
06001406800,1450.56
06001405800,917.63
06001401100,1095.2
06001405901,1870.64
06001405401,1167.21
06001404600,1854.0
06001407000,992.46
06001405301,864.02
06001407900,617.17
06001404900,2477.92
06001406500,725.08
06001405100,1285.33
06001407102,739.88
06001401800,1584.71
06001403600,1872.5
06001408000,645.56
06001405600,1597.82
06001402500,1709.31
06001404400,2167.17
06001400400,1219.75
06001404700,1415.17
06001403402,1914.86
06001407200,1917.76
06001406900,807.77
06001405500,1315.0
06001405700,854.07
06001406601,1604.42
06001402802,2141.5
06001403302,1693.67
06001406602,2292.5
06001400600,2189.67
06001405700,982.72
06001405500,1284.28
06001406900,898.77
06001406300,675.91
06001406201,1227.87
06001406700,1251.57
06001407500,1111.37
06001405402,1649.91
06001400300,2313.2
06001402801,1156.13
06001401700,1466.35
06001406000,1805.6
06001404200,1619.0
06001401200,472.0
06001403000,1635.0
06001401400,1155.53
06001400500,1427.0
06001403401,2444.35
06001404501,620.0
06001407800,1236.56
06001405302,1003.07
06001401000,1712.84
06001402200,1606.93
06001401300,1875.58
06001402700,1587.11
06001400800,822.93
06001407700,641.06
06001400100,2273.25
06001407101,1650.71
06001405200,1900.77
06001400700,1330.0
06001400900,1427.63
06001405000,2985.67
06001407600,648.44
06001403501,763.34
06001403800,2327.2
06001402600,1422.56
06001406100,1249.13
06001404502,413.73
06001407400,945.25
06001403502,472.72
06001405902,2381.27
06001403301,2078.79
06001403100,780.21
06001402400,1773.0
06001406202,802.2
06001400200,2406.25
06001403701,1420.55
06001404101,1805.57
06001404800,2132.29
06001404300,3029.0
06001404102,1440.25
06001406400,1042.88
06001407300,1036.0
06001401600,1390.39
06001401500,894.11
06001403900,1852.94
06001402900,1539.81
06001404000,2629.43
06001406800,1315.0
06001403702,2453.04
06001405800,962.95
06001405401,1131.54
06001405901,1773.04
06001401100,1186.2
06001406500,707.36
06001407102,830.88
06001404600,766.85
06001407000,1083.46
06001407900,476.43
06001405100,1107.43
06001404900,2377.15
06001405301,944.31
06001401800,1390.94
06001403600,1388.43
06001405600,1684.48
