geoid,avg_vac_r,SourceFile
06001400600,905.67,usps_vac_062019_tractsum_2kx.dbf
06001403701,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001400200,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001405902,1138.34,usps_vac_062019_tractsum_2kx.dbf
06001404800,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001406900,771.0,usps_vac_062019_tractsum_2kx.dbf
06001404102,961.67,usps_vac_062019_tractsum_2kx.dbf
06001405500,1128.47,usps_vac_062019_tractsum_2kx.dbf
06001405700,0.0,usps_vac_062019_tractsum_2kx.dbf
06001404300,1198.0,usps_vac_062019_tractsum_2kx.dbf
06001406400,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001405800,915.57,usps_vac_062019_tractsum_2kx.dbf
06001404000,1152.63,usps_vac_062019_tractsum_2kx.dbf
06001407500,1106.77,usps_vac_062019_tractsum_2kx.dbf
06001401500,780.0,usps_vac_062019_tractsum_2kx.dbf
06001402900,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001407300,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001403400,1232.05,usps_vac_062019_tractsum_2kx.dbf
06001400300,1322.13,usps_vac_062019_tractsum_2kx.dbf
06001403702,1068.15,usps_vac_062019_tractsum_2kx.dbf
06001403900,1259.6,usps_vac_062019_tractsum_2kx.dbf
06001401700,817.17,usps_vac_062019_tractsum_2kx.dbf
06001401600,948.62,usps_vac_062019_tractsum_2kx.dbf
06001406000,1346.5,usps_vac_062019_tractsum_2kx.dbf
06001406201,1310.93,usps_vac_062019_tractsum_2kx.dbf
06001406700,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001406300,1133.5,usps_vac_062019_tractsum_2kx.dbf
06001405402,696.5,usps_vac_062019_tractsum_2kx.dbf
06001401200,0.0,usps_vac_062019_tractsum_2kx.dbf
06001404200,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001406800,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001400500,13.0,usps_vac_062019_tractsum_2kx.dbf
06001401100,988.0,usps_vac_062019_tractsum_2kx.dbf
06001403000,914.22,usps_vac_062019_tractsum_2kx.dbf
06001401400,776.64,usps_vac_062019_tractsum_2kx.dbf
06001407800,964.67,usps_vac_062019_tractsum_2kx.dbf
06001405401,1204.56,usps_vac_062019_tractsum_2kx.dbf
06001405901,1121.64,usps_vac_062019_tractsum_2kx.dbf
06001404501,1096.5,usps_vac_062019_tractsum_2kx.dbf
06001400100,1249.8,usps_vac_062019_tractsum_2kx.dbf
06001403600,1249.33,usps_vac_062019_tractsum_2kx.dbf
06001400800,556.5,usps_vac_062019_tractsum_2kx.dbf
06001407700,642.0,usps_vac_062019_tractsum_2kx.dbf
06001408000,0.0,usps_vac_062019_tractsum_2kx.dbf
06001407101,886.25,usps_vac_062019_tractsum_2kx.dbf
06001405600,1022.52,usps_vac_062019_tractsum_2kx.dbf
06001402500,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001405200,1178.3,usps_vac_062019_tractsum_2kx.dbf
06001403501,1188.13,usps_vac_062019_tractsum_2kx.dbf
06001407600,901.75,usps_vac_062019_tractsum_2kx.dbf
06001403800,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001402800,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001400900,672.4,usps_vac_062019_tractsum_2kx.dbf
06001405000,1333.21,usps_vac_062019_tractsum_2kx.dbf
06001400700,485.56,usps_vac_062019_tractsum_2kx.dbf
06001401300,1319.8,usps_vac_062019_tractsum_2kx.dbf
06001405301,1100.2,usps_vac_062019_tractsum_2kx.dbf
06001407102,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001406500,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001404900,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001401800,1092.67,usps_vac_062019_tractsum_2kx.dbf
06001404600,648.4,usps_vac_062019_tractsum_2kx.dbf
06001405302,942.43,usps_vac_062019_tractsum_2kx.dbf
06001401000,1172.36,usps_vac_062019_tractsum_2kx.dbf
06001403300,767.32,usps_vac_062019_tractsum_2kx.dbf
06001402200,1184.0,usps_vac_062019_tractsum_2kx.dbf
06001407900,0.0,usps_vac_062019_tractsum_2kx.dbf
06001402700,983.42,usps_vac_062019_tractsum_2kx.dbf
06001407000,846.6,usps_vac_062019_tractsum_2kx.dbf
06001405100,2076.0,usps_vac_062019_tractsum_2kx.dbf
06001403701,1443.0,usps_vac_092019_tractsum_2kx.dbf
06001404101,1392.6,usps_vac_092019_tractsum_2kx.dbf
06001403100,629.8,usps_vac_092019_tractsum_2kx.dbf
06001400200,1443.0,usps_vac_092019_tractsum_2kx.dbf
06001405902,1229.34,usps_vac_092019_tractsum_2kx.dbf
06001406602,1261.0,usps_vac_092019_tractsum_2kx.dbf
06001406202,1443.0,usps_vac_092019_tractsum_2kx.dbf
06001404800,1443.0,usps_vac_092019_tractsum_2kx.dbf
06001400600,996.67,usps_vac_092019_tractsum_2kx.dbf
06001402400,763.94,usps_vac_092019_tractsum_2kx.dbf
06001406601,1327.5,usps_vac_092019_tractsum_2kx.dbf
06001404300,1289.0,usps_vac_092019_tractsum_2kx.dbf
06001404102,1052.67,usps_vac_092019_tractsum_2kx.dbf
06001405700,0.0,usps_vac_092019_tractsum_2kx.dbf
06001405500,1219.47,usps_vac_092019_tractsum_2kx.dbf
06001406900,862.0,usps_vac_092019_tractsum_2kx.dbf
06001406400,1443.0,usps_vac_092019_tractsum_2kx.dbf
06001406000,1437.5,usps_vac_092019_tractsum_2kx.dbf
06001401200,0.0,usps_vac_092019_tractsum_2kx.dbf
06001404000,1243.63,usps_vac_092019_tractsum_2kx.dbf
